lat;lon;escola;logradouro;num;cidade;cod
-6.15068550;-36.10624340;ESCOLA ESTADUAL  VIRGILIO FURTADO;RUA JOAQUIM BERNARDINO DA SILVA;350;LAJES PINTADAS - RN;336
-6.226266104800562;-36.02258896798401;ESCOLA ESTADUAL COSME FERREIRA MARQUES;R ALUIZIO BEZERRA;165;SANTA CRUZ - RN;339
-6.234466577083475;-36.02835322353059;ESCOLA ESTADUAL JOAO FERREIRA DE SOUZA;R. SANTA LUZIA;299;SANTA CRUZ - RN;340
-6.235814351955582;-36.01418560714035;ESCOLA ESTADUAL JOSE BEZERRA CAVALCANTI;RUA INHARE;50;SANTA CRUZ - RN;341
-6.227609862431643;-36.01899769011311;ESCOLA ESTADUAL PROFESSOR FRANCISCO DE ASSIS DIAS RIBEIRO;RUA FERREIRA CHAVES;287;SANTA CRUZ - RN;342
-6.228935152005827;-36.02038150996475;ESCOLA ESTADUAL QUINTINO BOCAIUVA;R COSME FERREIRA MARQUES;105;SANTA CRUZ - RN;344
-6.224877193819458;-36.02092674575499;ESCOLA ESTADUAL ISABEL OSCARLINA MARQUES;AVENIDA RIO BRANCO;595;SANTA CRUZ - RN;346
-6.22940710;-36.02330780;CENTRO ESTADUAL DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO - CEAEE;RUA JOAO BIANOR BEZERRA;137;SANTA CRUZ - RN;347
-6.344550799999999;-36.08229730;EE PROF MARIA LIDIA DA SILVA ENS FUND E MEDIO;RUA THEODORICO BEZERRA;132;SAO BENTO DO TRAIRI - RN;348
-6.10561730;-35.91007480;ESCOLA ESTADUAL JOSE NUNES DE CARVALHO;RUA SEBASTIAO FERREIRA LIMA;99;SITIO NOVO - RN;349
-6.10561730;-35.91007480;ESCOLA ESTADUAL SEBASTIAO FERREIRA LIMA;R SEBASTIAO FERREIRA LIMA;99;SITIO NOVO - RN;350
-5.498500700000001;-36.50010510;ESCOLA ESTADUAL JOSE AVELINO;RUA CEL JOSE FRANCISCO;84;AFONSO BEZERRA - RN;354
-5.498500700000001;-36.50010510;ESCOLA ESTADUAL PROFESSORA MARIA ALINA PINHEIRO;PRACA 27 DE OUTUBRO;102;AFONSO BEZERRA - RN;355
-5.671652799999999;-36.60460800000001;ESCOLA ESTADUAL PROFESSORA JOANA HONORIO DA SILVEIRA MOURA;RUA CEL LUIS PINHEIRO;120;ANGICOS - RN;357
-5.671652799999999;-36.60460800000001;ESCOLA ESTADUAL JOSE RUFINO;AV SEN GEORGINO AVELINO;110;ANGICOS - RN;358
-5.671652799999999;-36.60460800000001;ESCOLA ESTADUAL PROFESSOR FRANCISCO VERAS;RUA VICENTE GERMANO;60;ANGICOS - RN;359
-5.982703100000001;-36.4093226;ESCOLA ESTADUAL SERVULO PEREIRA DE ARAUJO;RUA PEDRO MACEDO;31;BODO - RN;360
-5.71887620;-36.46788990;ESCOLA ESTADUAL PROFESSORA FRANCISCA ALVES DA SILVA;RUA VER JOAO SALVIANO SOBRINHO;157;FERNANDO PEDROZA - RN;361
-5.71887620;-36.46788990;ESCOLA ESTADUAL VEREADOR JOAO SALVIANO SOBRINHO;RUA VEREADOR JOAO SALVIANO SOBRINHO;157;FERNANDO PEDROZA - RN;362
-5.69706920;-36.24124020;ESCOLA ESTADUAL OLIMPIO PROCOPIO DE MOURA;RUA PROFESSORA ZELIA FERNANDES;78;LAJES - RN;364
-5.69706920;-36.24124020;ESCOLA ESTADUAL PEDRO II;PRACA MONSENHOR VICENTE DE PAULA;476;LAJES - RN;365
-5.52241790;-36.38729520;ESCOLA ESTADUAL PAULO VI;RUA DAS ORQUIDEAS;73;PEDRO AVELINO - RN;366
-5.52241790;-36.38729520;ESCOLA ESTADUAL PROFESSOR ABEL FURTADO;RUA DO MATADOURO;419;PEDRO AVELINO - RN;367
-5.52241790;-36.38729520;ESCOLA ESTADUAL PROFESSORA JOSEFA SAMPAIO MARINHO;PEDRO FRUTUOSO BEZERRA;38;PEDRO AVELINO - RN;368
-5.95712380;-36.65332950;EE ARISTOFANES FERNANDES ENS FUND E MEDIO;RUA PADRE JOAO TEOTONIO;100;SANTANA DO MATOS - RN;369
-5.95712380;-36.65332950;EE PROF CELSO ARRUDA DE ANDRADE ENS FUNDAMENTAL;AV 27 DE OUTUBRO;1003;SANTANA DO MATOS - RN;371
-6.45998230;-36.64101380;ESCOLA ESTADUAL DOUTOR JOSE GONCALVES DE MEDEIROS;R SILVINO ADONIAS BEZERRA;72;ACARI - RN;372
-6.45998230;-36.64101380;ESCOLA ESTADUAL PROFESSORA IRACEMA BRANDAO DE ARAUJO - ENSINO MEDIO EM TEMPO INTEGRAL;R SILVINO BEZERRA FILHO;640;ACARI - RN;373
-6.45998230;-36.64101380;ESCOLA ESTADUAL TOMAZ DE ARAUJO;RUA DA MATRIZ;210;ACARI - RN;374
-6.548842899999999;-36.5934214;ESCOLA ESTADUAL CAETANO DANTAS;TRAVESSA ANTONIO DANTAS;199;CARNAUBA DOS DANTAS - RN;376
